FOR GOVERNOR AND LIEUTENANT GOVERNOR ( 1),,,,,,,,,,,,,,,,,,,,,,
,,TED DABROWSKI / CARRIE MENDOZA,,,,,JAMES MENDRICK / ROBERT RENTERIA,,,,,DARREN BAILEY / AARON B. DEL MAR,,,,,RICK HEIDNER / CHRISTINA NEITZKE-TROIKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Downers Grove 077,1133,13,4,25,0,42,6,4,9,0,19,6,8,11,0,25,1,0,3,0,4,90
Downers Grove 078,1279,6,7,28,0,41,16,12,24,0,52,7,15,10,0,32,1,1,4,0,6,131
Downers Grove 079,961,5,4,13,0,22,5,6,17,0,28,9,4,12,0,25,6,1,4,0,11,86
Downers Grove 080,1087,8,3,16,0,27,6,3,11,0,20,10,14,14,0,38,1,1,5,0,7,92
Downers Grove 081,822,8,7,15,0,30,8,1,20,0,29,7,1,16,0,24,1,0,5,0,6,89
Downers Grove 082,988,4,2,18,0,24,2,5,12,0,19,7,3,15,0,25,2,1,7,0,10,78
Downers Grove 083,1290,2,5,21,0,28,7,4,15,0,26,4,6,25,0,35,6,2,6,0,14,103
Downers Grove 084,994,1,5,34,0,40,3,4,9,0,16,9,6,26,0,41,0,0,7,0,7,104
Downers Grove 085,1266,10,14,22,0,46,9,1,16,0,26,8,18,18,0,44,3,3,4,0,10,126
Downers Grove 086,1206,14,9,30,0,53,18,12,27,0,57,5,5,14,0,24,6,4,8,0,18,152
Downers Grove 087,1165,5,2,13,0,20,12,4,11,0,27,8,6,12,0,26,0,0,1,0,1,74
Downers Grove 088,775,10,9,16,0,35,15,2,18,0,35,6,3,13,0,22,1,0,1,0,2,94
Downers Grove 089,1151,6,3,27,0,36,4,3,12,0,19,2,1,14,0,17,1,0,3,0,4,76
Downers Grove 090,1157,5,5,19,0,29,4,3,18,0,25,4,7,27,0,38,0,1,10,0,11,103
Downers Grove 091,924,8,8,12,0,28,9,4,25,0,38,10,6,12,0,28,2,4,1,0,7,101
Downers Grove 092,963,4,2,28,0,34,10,7,14,0,31,3,5,32,0,40,0,1,10,0,11,116
Downers Grove 093,1173,6,6,33,0,45,3,2,15,0,20,1,9,9,0,19,2,0,4,0,6,90
Downers Grove 094,1235,9,4,26,0,39,11,3,23,0,37,4,5,14,0,23,1,3,4,0,8,107
Downers Grove 095,845,7,3,15,0,25,11,13,21,0,45,3,4,9,0,16,0,1,0,0,1,87
Downers Grove 096,1056,1,4,18,0,23,1,2,15,0,18,8,6,22,0,36,0,0,8,0,8,85
Downers Grove 097,982,5,6,14,0,25,7,4,12,0,23,2,2,18,0,22,1,2,3,0,6,76
