JoinField,JoinField_alt,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
COOK:7600039,COOK:Hanover Precinct 39,20,7,21,11,59
COOK:7600040,COOK:Hanover Precinct 40,22,9,30,13,74
COOK:7600041,COOK:Hanover Precinct 41,24,2,36,19,81
COOK:7600042,COOK:Hanover Precinct 42,30,9,26,11,76
COOK:7600043,COOK:Hanover Precinct 43,25,11,27,13,76
COOK:7700001,COOK:Lemont Precinct 1,39,6,36,12,93
COOK:7700002,COOK:Lemont Precinct 2,46,4,20,10,80
COOK:7700003,COOK:Lemont Precinct 3,78,15,49,12,154
COOK:7700004,COOK:Lemont Precinct 4,61,14,35,11,121
COOK:7700005,COOK:Lemont Precinct 5,46,12,34,7,99
COOK:7700006,COOK:Lemont Precinct 6,58,13,36,4,111
COOK:7700007,COOK:Lemont Precinct 7,35,10,24,8,77
COOK:7700008,COOK:Lemont Precinct 8,62,7,29,7,105
COOK:7700009,COOK:Lemont Precinct 9,29,5,17,3,54
COOK:7700010,COOK:Lemont Precinct 10,26,4,27,4,61
COOK:7700011,COOK:Lemont Precinct 11,93,8,49,19,169
COOK:7700012,COOK:Lemont Precinct 12,64,13,52,14,143
COOK:7700013,COOK:Lemont Precinct 13,76,11,38,25,150
COOK:7700014,COOK:Lemont Precinct 14,44,15,39,10,108
COOK:7800001,COOK:Leyden Precinct 1,12,4,10,4,30
COOK:7800002,COOK:Leyden Precinct 2,13,3,7,6,29
COOK:7800003,COOK:Leyden Precinct 3,23,8,19,13,63
COOK:7800004,COOK:Leyden Precinct 4,17,2,6,8,33
COOK:7800005,COOK:Leyden Precinct 5,37,3,10,6,56
COOK:7800006,COOK:Leyden Precinct 6,16,4,28,11,59
COOK:7800007,COOK:Leyden Precinct 7,18,1,5,2,26
COOK:7800008,COOK:Leyden Precinct 8,26,9,17,9,61
COOK:7800009,COOK:Leyden Precinct 9,31,13,22,12,78
COOK:7800010,COOK:Leyden Precinct 10,28,5,25,6,64
COOK:7800011,COOK:Leyden Precinct 11,23,6,22,6,57
COOK:7800012,COOK:Leyden Precinct 12,271,12,55,16,354
COOK:7800013,COOK:Leyden Precinct 13,16,3,11,6,36
COOK:7800014,COOK:Leyden Precinct 14,26,4,12,7,49
COOK:7800015,COOK:Leyden Precinct 15,15,5,14,11,45
COOK:7800016,COOK:Leyden Precinct 16,17,8,22,8,55
COOK:7800017,COOK:Leyden Precinct 17,20,3,10,5,38
COOK:7800018,COOK:Leyden Precinct 18,18,5,8,3,34
COOK:7800019,COOK:Leyden Precinct 19,27,4,15,5,51
COOK:7800020,COOK:Leyden Precinct 20,11,0,4,3,18
COOK:7800021,COOK:Leyden Precinct 21,3,4,4,4,15
COOK:7800022,COOK:Leyden Precinct 22,28,5,15,11,59
COOK:7800023,COOK:Leyden Precinct 23,50,8,36,7,101
COOK:7800024,COOK:Leyden Precinct 24,16,3,8,12,39
COOK:7800025,COOK:Leyden Precinct 25,19,3,12,11,45
COOK:7800026,COOK:Leyden Precinct 26,34,3,23,14,74
COOK:7800027,COOK:Leyden Precinct 27,9,1,3,1,14
COOK:7800028,COOK:Leyden Precinct 28,12,4,7,0,23
COOK:7800029,COOK:Leyden Precinct 29,9,1,11,2,23
COOK:7800030,COOK:Leyden Precinct 30,31,8,21,12,72
COOK:7800031,COOK:Leyden Precinct 31,21,6,17,9,53
COOK:7800032,COOK:Leyden Precinct 32,21,5,13,5,44
COOK:7800033,COOK:Leyden Precinct 33,21,5,12,14,52
COOK:7800034,COOK:Leyden Precinct 34,19,5,10,1,35
COOK:7800035,COOK:Leyden Precinct 35,5,0,7,5,17
COOK:7800036,COOK:Leyden Precinct 36,24,5,8,5,42
