GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Ted Dabrowski / Carrie Mendoza,,,,,(James Mendrick / Robert Renteria,,,,,(Darren Bailey / Aaron B. Del Mar,,,,,(Rick Heidner / Christina Neitzke-,,,,,WRITE-IN,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
McHenry 18,799,26,8,1,1,36,7,1,1,0,9,20,3,4,0,27,6,3,0,0,9,0,0,0,0,0,81
McHenry 19,789,16,8,1,0,25,4,1,0,0,5,31,3,0,0,34,3,5,0,0,8,0,0,0,0,0,72
McHenry 20,1312,18,8,2,0,28,4,2,0,0,6,25,11,5,1,42,7,1,1,0,9,0,1,0,0,1,86
McHenry 21,962,21,4,6,0,31,7,4,1,0,12,25,5,2,1,33,15,1,1,0,17,0,0,0,0,0,93
McHenry 22,1011,17,9,4,0,30,6,2,2,0,10,21,10,3,2,36,5,0,3,0,8,0,0,0,0,0,84
McHenry 23,1127,31,10,3,0,44,4,1,0,0,5,17,11,2,2,32,6,4,1,0,11,0,0,0,0,0,92
McHenry 24,1040,16,3,1,0,20,6,1,2,0,9,9,0,2,0,11,2,1,2,0,5,0,0,0,0,0,45
McHenry 25,1059,17,5,5,0,27,2,1,2,0,5,17,4,11,1,33,2,3,1,0,6,0,1,0,0,1,72
McHenry 26,1033,17,8,5,2,32,4,2,2,0,8,17,7,10,0,34,2,2,2,0,6,0,1,0,0,1,81
McHenry 27,818,9,3,2,1,15,7,0,1,1,9,17,3,1,0,21,5,1,0,2,8,0,0,0,0,0,53
McHenry 28,1066,21,9,2,0,32,9,4,1,0,14,18,9,4,0,31,10,1,1,1,13,0,0,0,0,0,90
McHenry 29,875,17,2,5,0,24,3,1,0,0,4,11,3,5,1,20,3,2,1,0,6,0,0,1,0,1,55
McHenry 30,718,13,3,2,2,20,2,0,0,0,2,9,4,5,0,18,5,0,2,0,7,0,0,0,0,0,47
McHenry 31,699,7,4,0,0,11,5,0,1,0,6,9,6,2,0,17,1,2,0,0,3,0,0,0,0,0,37
McHenry 32,746,7,4,2,0,13,2,2,4,0,8,13,2,4,0,19,7,2,0,0,9,0,0,0,0,0,49
McHenry 33,894,23,5,2,0,30,8,0,1,0,9,23,1,2,2,28,5,2,0,0,7,0,0,0,0,0,74
McHenry 34,835,23,5,4,1,33,8,0,0,0,8,27,3,3,0,33,5,0,2,0,7,0,0,0,0,0,81
Nunda 1,1109,19,1,0,4,24,2,1,1,0,4,22,8,3,0,33,5,0,1,1,7,0,0,1,0,1,69
