JoinField,JoinField_alt,JB Pritzker & Christian Mitchell,Total Voters
COOK:7900050,COOK:Lyons Precinct 50,210,210
COOK:7900051,COOK:Lyons Precinct 51,107,107
COOK:7900052,COOK:Lyons Precinct 52,203,203
COOK:7900053,COOK:Lyons Precinct 53,150,150
COOK:7900054,COOK:Lyons Precinct 54,121,121
COOK:7900055,COOK:Lyons Precinct 55,148,148
COOK:7900056,COOK:Lyons Precinct 56,176,176
COOK:7900057,COOK:Lyons Precinct 57,140,140
COOK:7900058,COOK:Lyons Precinct 58,92,92
COOK:7900059,COOK:Lyons Precinct 59,117,117
COOK:7900060,COOK:Lyons Precinct 60,190,190
COOK:7900061,COOK:Lyons Precinct 61,202,202
COOK:7900062,COOK:Lyons Precinct 62,129,129
COOK:7900063,COOK:Lyons Precinct 63,174,174
COOK:7900064,COOK:Lyons Precinct 64,142,142
COOK:7900065,COOK:Lyons Precinct 65,152,152
COOK:7900066,COOK:Lyons Precinct 66,54,54
COOK:7900067,COOK:Lyons Precinct 67,144,144
COOK:7900068,COOK:Lyons Precinct 68,106,106
COOK:7900069,COOK:Lyons Precinct 69,236,236
COOK:8000001,COOK:Maine Precinct 1,79,79
COOK:8000002,COOK:Maine Precinct 2,105,105
COOK:8000003,COOK:Maine Precinct 3,44,44
COOK:8000004,COOK:Maine Precinct 4,276,276
COOK:8000005,COOK:Maine Precinct 5,168,168
COOK:8000006,COOK:Maine Precinct 6,308,308
COOK:8000007,COOK:Maine Precinct 7,149,149
COOK:8000008,COOK:Maine Precinct 8,272,272
COOK:8000009,COOK:Maine Precinct 9,299,299
COOK:8000010,COOK:Maine Precinct 10,327,327
COOK:8000011,COOK:Maine Precinct 11,81,81
COOK:8000012,COOK:Maine Precinct 12,126,126
COOK:8000013,COOK:Maine Precinct 13,158,158
COOK:8000014,COOK:Maine Precinct 14,255,255
COOK:8000015,COOK:Maine Precinct 15,161,161
COOK:8000016,COOK:Maine Precinct 16,140,140
COOK:8000017,COOK:Maine Precinct 17,177,177
COOK:8000018,COOK:Maine Precinct 18,155,155
COOK:8000019,COOK:Maine Precinct 19,79,79
