JoinField,JoinField_alt,Ward/Township,Precinct,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
CITY OF CHICAGO:WARD 36 PRECINCT 03,CITY OF CHICAGO:WARD 36 PRECINCT 03,36,3,64,70,134
CITY OF CHICAGO:WARD 36 PRECINCT 04,CITY OF CHICAGO:WARD 36 PRECINCT 04,36,4,75,81,156
CITY OF CHICAGO:WARD 36 PRECINCT 05,CITY OF CHICAGO:WARD 36 PRECINCT 05,36,5,13,14,27
CITY OF CHICAGO:WARD 36 PRECINCT 18,CITY OF CHICAGO:WARD 36 PRECINCT 18,36,18,52,77,129
CITY OF CHICAGO:WARD 36 PRECINCT 19,CITY OF CHICAGO:WARD 36 PRECINCT 19,36,19,116,192,308
CITY OF CHICAGO:WARD 36 PRECINCT 20,CITY OF CHICAGO:WARD 36 PRECINCT 20,36,20,112,197,309
CITY OF CHICAGO:WARD 36 PRECINCT 21,CITY OF CHICAGO:WARD 36 PRECINCT 21,36,21,38,67,105
CITY OF CHICAGO:WARD 36 PRECINCT 22,CITY OF CHICAGO:WARD 36 PRECINCT 22,36,22,95,163,258
CITY OF CHICAGO:WARD 36 PRECINCT 23,CITY OF CHICAGO:WARD 36 PRECINCT 23,36,23,87,154,241
CITY OF CHICAGO:WARD 36 PRECINCT 24,CITY OF CHICAGO:WARD 36 PRECINCT 24,36,24,93,165,258
CITY OF CHICAGO:WARD 36 PRECINCT 25,CITY OF CHICAGO:WARD 36 PRECINCT 25,36,25,81,212,293
CITY OF CHICAGO:WARD 36 PRECINCT 26,CITY OF CHICAGO:WARD 36 PRECINCT 26,36,26,93,188,281
CITY OF CHICAGO:WARD 36 PRECINCT 27,CITY OF CHICAGO:WARD 36 PRECINCT 27,36,27,108,161,269
CITY OF CHICAGO:WARD 38 PRECINCT 01,CITY OF CHICAGO:WARD 38 PRECINCT 01,38,1,83,151,234
CITY OF CHICAGO:WARD 38 PRECINCT 02,CITY OF CHICAGO:WARD 38 PRECINCT 02,38,2,37,78,115
CITY OF CHICAGO:WARD 38 PRECINCT 03,CITY OF CHICAGO:WARD 38 PRECINCT 03,38,3,72,114,186
CITY OF CHICAGO:WARD 38 PRECINCT 04,CITY OF CHICAGO:WARD 38 PRECINCT 04,38,4,43,76,119
CITY OF CHICAGO:WARD 38 PRECINCT 05,CITY OF CHICAGO:WARD 38 PRECINCT 05,38,5,86,104,190
CITY OF CHICAGO:WARD 38 PRECINCT 06,CITY OF CHICAGO:WARD 38 PRECINCT 06,38,6,58,106,164
CITY OF CHICAGO:WARD 38 PRECINCT 07,CITY OF CHICAGO:WARD 38 PRECINCT 07,38,7,94,91,185
CITY OF CHICAGO:WARD 38 PRECINCT 08,CITY OF CHICAGO:WARD 38 PRECINCT 08,38,8,67,89,156
CITY OF CHICAGO:WARD 38 PRECINCT 09,CITY OF CHICAGO:WARD 38 PRECINCT 09,38,9,70,116,186
CITY OF CHICAGO:WARD 38 PRECINCT 10,CITY OF CHICAGO:WARD 38 PRECINCT 10,38,10,60,99,159
CITY OF CHICAGO:WARD 38 PRECINCT 11,CITY OF CHICAGO:WARD 38 PRECINCT 11,38,11,82,144,226
CITY OF CHICAGO:WARD 38 PRECINCT 12,CITY OF CHICAGO:WARD 38 PRECINCT 12,38,12,102,146,248
CITY OF CHICAGO:WARD 38 PRECINCT 13,CITY OF CHICAGO:WARD 38 PRECINCT 13,38,13,47,78,125
CITY OF CHICAGO:WARD 38 PRECINCT 14,CITY OF CHICAGO:WARD 38 PRECINCT 14,38,14,66,101,167
CITY OF CHICAGO:WARD 38 PRECINCT 15,CITY OF CHICAGO:WARD 38 PRECINCT 15,38,15,78,107,185
CITY OF CHICAGO:WARD 38 PRECINCT 16,CITY OF CHICAGO:WARD 38 PRECINCT 16,38,16,90,153,243
CITY OF CHICAGO:WARD 38 PRECINCT 17,CITY OF CHICAGO:WARD 38 PRECINCT 17,38,17,90,142,232
CITY OF CHICAGO:WARD 38 PRECINCT 18,CITY OF CHICAGO:WARD 38 PRECINCT 18,38,18,118,185,303
CITY OF CHICAGO:WARD 38 PRECINCT 19,CITY OF CHICAGO:WARD 38 PRECINCT 19,38,19,143,190,333
